5000						100 30 10	
5300					Кол-во	Бюджет	Прем
5800							
6000					а	б	
6100					27700	7896	
6200							
6300							
6400							
6600							
6800							
7000							
7300							
7600							
7700							
7800							
8000							
8100							
8200							
8300							
8600							
8800							
8900							
9100							
9400							
9600							
10000							
10200							
10300							
10600							
10900							
11000							
11300							
11600							
11900							
12000							
12300							
12500							
12700							
12800							
13000							
13300							
14000							
14100							
14300							
14400							
14700							
15100							
15200							
15600							
15700							
15900							
16500							
16700							
16900							
17000							
17200							
17800							
18000							
18200							
18300							
18600							
19100							
19200							
19300							
19600							
19900							
20000							
20100							
20800							
21100							
21400							
21500							
21600							
21900							
22200							
22400							
22500							
22800							
23400							
23600							
23700							
23900							
24600							
24900							
25200							
25600							
26100							
26300							
26500							
27200							
27700							
28100							
28200							
28400							
28500							
28600							
28700							
29000							
29500							
29600							
